gem,count
Zultanite,0
Zambian Emerald,0
Yellow Zircon,0
White Opal,0
Yellow Beryl,0
White Zircon,0
White Topaz,0
Trapiche Emerald,2
Chrome Tourmaline,3
Petrified Wood,3
Clinohumite,3
Green Apatite,3
Orthoclase,3
Sri Lanka Moonstone,5
No Oil Emerald,6
Green Tanzanite,9
Insignificant Oil Emerald,9
Sphalerite,10
Taaffeite,12
Navratna,13
Russian Alexandrite,15
Grey Sapphire,15
Royal Blue Sapphire,18
Mandarin Garnet,18
Paraiba Tourmaline,18
Panjshir Emerald,18
Pigeon Blood Ruby,19
Cats Eye Opal,21
Red Zircon,21
Padparadscha Sapphire,21
Peridot,22
Pink Sapphire,24
Orange Kyanite,24
Vivid Green Emerald,34
Tanzania Ruby,35
Blue Moonstone,42
Orange Sapphire,42
Red Tourmaline,43
Spectrolite,51
Pitambari Neelam,54
Cornflower Blue Sapphire,57
Danburite,58
Color Change Sapphire,60
Topaz,66
Mocha Scapolite,66
Tiger Eye,72
Watermelon Tourmaline,72
Tsavorite,72
Howlite,74
Moss Agate,81
Jasper,97
Basra Pearls,105
Russian Emerald,106
Pink Topaz,112
Angel Skin Coral,117
Ammolite,123
Fluorite,125
Chrysoberyl,126
Red Spinel,131
Ethiopian Emerald,132
Amber,133
Malachite,142
Cats Eye Moonstone,145
Alexandrite Cats Eye,151
Peach Morganite,168
Kashmir Blue Sapphire,173
Grandidierite,176
Pink Coral,177
Teal Sapphire,185
Lavender Quartz,190
Yellow Topaz,194
Tahitian Pearls,195
Black Pearls,195
Khooni Neelam,195
Pearl (Moti),195
Green Sapphire,203
Spessartite,204
Green Kyanite,207
Lemon Quartz,210
Obsidian,210
Goshenite,215
Golden Topaz,225
Purple Garnet,228
Rainbow Moonstone,228
Chrysocolla,239
Blue Spinel,248
Neon Apatite,251
Apatite,280
Smoky Quartz,286
Kyanite,288
Imperial Topaz,296
Star Garnet,296
Zircon,297
Purple Sapphire,318
White Sapphire,341
Star Sapphire,342
Brown Moonstone,354
Lapis Lazuli,356
Rose Quartz,359
Ruby Cabochon,370
Jade Nephrite,374
Pink Spinel,385
Natural Pearls,399
Kunzite,408
Black Spinel,416
Aventurine,418
White Coral,438
Cats Eye Quartz,451
Beryl,453
Green Amethyst (Prasiolite),456
London Blue Topaz,468
Pink Morganite,479
Moonstone,489
Fire Opal,501
Burmese Sapphire,526
Opal Doublet,545
Iolite (Neeli),546
Apatite Cat's Eye,584
Chrome Diopside,594
Tanzanite,599
Pink Opal,607
Brown Zircon,612
Sunstone,612
Black Tourmaline,628
Almandine Garnet (Pyrope),636
Jadeite,640
Rubellite,658
Heliodor,666
Swiss Blue Topaz,673
Blue Zircon,679
Bloodstone,692
Blue Opal,710
Sky Blue Topaz,717
Morganite,729
Keshi Pearls,767
Red Coral (Moonga),787
Pink Tourmaline,845
Tibetian Turquoise,869
Ametrine,885
Labradorite,891
Iranian Turquoise (Irani Feroza),1121
Chrysoberyl Cat’s Eye (Lehsunia),1138
Star Ruby,1233
Japanese Red Coral,1237
Black Onyx,1396
Yellow Sapphire - Pukhraj,1434
Spinel,1449
Alexandrite,1478
Burmese Ruby,1582
Jade,1639
Moldavite,1745
Green Tourmaline (Verdelite),1747
Onyx (Chalcedony),1748
Colombian Emerald,1826
Blue Topaz,1843
Glass Filled Ruby,1929
Black Opal,2030
Mozambique Ruby,2115
South Sea Pearls,2263
Garnet,2299
Citrine (Sunela),2407
Tourmaline,2567
Mexican Fire Opal,2662
Cats Eye,2725
Amethyst,2843
Cultured Pearls,2937
Ruby (Manik),2948
Hessonite (Gomed),3250
Aquamarine,3679
Turquoise,3825
Brazilian Emerald,4041
Opal,4973
Australian Opal,5059
Indian Ruby,5074
Ethiopian Opal,5901
Ceylon Blue Sapphire,6787
Blue Sapphire (Neelam),8476
Emerald (Panna),10977
